ParticipantID,QuestionID,AnswerValue
8,30,3.0
8,31,2.0
8,32,3.0
8,33,3.0
8,34,2.0
8,35,3.0
8,36,3.0
8,37,4.0
8,38,3.0
8,39,3.0
8,40,3.0
8,41,3.0
8,42,2.0
9,1,59.0
9,2,British
9,3,25.0
9,4,"Fishing,walking, photography."
9,5,1
9,6,1.0
9,7,2.0
9,8,5.0
9,9,5.0
9,10,5.0
9,11,4.0
9,12,5.0
9,13,5.0
9,14,5.0
9,15,5.0
9,16,2.0
9,17,1.0
9,18,4.0
9,19,5.0
9,20,5.0
9,21,5.0
9,22,5.0
9,23,5.0
9,24,6.0
9,25,6.0
9,26,6.0
9,27,6.0
9,28,3.0
9,29,1.0
9,30,2.0
9,31,1.0
9,32,1.0
9,33,3.0
9,34,7.0
9,35,6.0
9,36,6.0
9,37,6.0
9,38,4.0
9,39,4.0
9,40,4.0
9,41,4.0
9,42,2.0
10,1,47.0
10,2,English
10,3,10.0
10,4,"Allotment, gardening in garden, walking through civic park, bee-keeping, birdwatching through window when ill"
10,5,2
10,6,1.0
10,7,1.0
10,8,3.0
10,9,4.0
10,10,3.0
10,11,4.0
10,12,4.0
10,13,3.0
10,14,4.0
10,15,3.0
10,16,5.0
10,17,5.0
10,18,3.0
10,19,5.0
10,20,5.0
10,21,5.0
10,22,5.0
10,23,5.0
10,24,4.0
10,25,4.0
10,26,6.0
10,27,3.0
10,28,3.0
10,29,3.0
10,30,3.0
10,31,3.0
10,32,1.0
10,33,3.0
10,34,2.0
10,35,2.0
10,36,2.0
10,37,2.0
10,38,2.0
10,39,3.0
10,40,2.0
10,41,4.0
10,42,1.0
11,1,51.0
11,2,British
11,3,20.0
11,4,"Dog walking, allotment, nature photography"
11,5,2
11,6,1.0
11,7,2.0
11,8,3.0
11,9,3.0
11,10,4.0
11,11,2.0
11,12,2.0
11,13,1.0
11,14,3.0
11,15,1.0
11,16,5.0
11,17,5.0
11,18,5.0
11,19,5.0
11,20,5.0
11,21,5.0
11,22,5.0
11,23,5.0
11,24,0.0
11,25,0.0
11,26,0.0
11,27,0.0
11,28,1.0
11,29,3.0
11,30,3.0
11,31,1.0
11,32,3.0
11,33,1.0
11,34,1.0
11,35,1.0
11,36,1.0
11,37,2.0
11,38,3.0
11,39,2.0
11,40,3.0
11,41,3.0
11,42,2.0
12,1,65.0
12,2,British6
12,3,6.0
12,4,"Gardening,allotment"
12,5,2
12,6,1.0
12,7,1.0
12,8,2.0
12,9,4.0
12,10,3.0
12,11,4.0
12,12,4.0
12,13,4.0
12,14,3.0
12,15,2.0
12,16,2.0
12,17,2.0
12,18,4.0
12,19,4.0
12,20,4.0
12,21,5.0
12,22,5.0
12,23,4.0
12,24,7.0
12,25,6.0
12,26,6.0
12,27,7.0
12,28,3.0
12,29,1.0
12,30,1.0
12,31,2.0
12,32,1.0
12,33,3.0
12,34,6.0
12,35,7.0
12,36,6.0
12,37,7.0
12,38,3.0
12,39,4.0
12,40,3.0
12,41,3.0
12,42,4.0
13,1,46.0
13,2,English
13,3,10.0
13,4,Gardening
13,5,2
13,6,1.0
13,7,2.0
13,8,3.0
13,9,2.0
13,10,2.0
13,11,3.0
13,12,3.0
13,13,3.0
13,14,3.0
13,15,1.0
13,16,3.0
13,17,2.0
13,18,5.0
13,19,4.0
13,20,5.0
13,21,5.0
13,22,5.0
13,23,4.0
13,24,6.0
13,25,7.0
13,26,5.0
13,27,6.0
13,28,3.0
13,29,3.0
13,30,1.0
13,31,3.0
13,32,3.0
13,33,3.0
13,34,3.0
13,35,2.0
13,36,2.0
13,37,2.0
13,38,2.0
13,39,2.0
13,40,3.0
13,41,2.0
13,42,2.0
14,1,51.0
14,2,British
14,3,12.0
14,4,Walking & gardening
14,5,2
14,6,1.0
14,7,2.0
14,8,4.0
14,9,4.0
14,10,3.0
14,11,4.0
14,12,4.0
14,13,4.0
14,14,4.0
14,15,3.0
14,16,4.0
14,17,4.0
14,18,5.0
14,19,5.0
14,20,4.0
14,21,5.0
14,22,5.0
14,23,5.0
14,24,4.0
14,25,4.0
14,26,4.0
14,27,4.0
14,28,3.0
14,29,1.0
14,30,1.0
14,31,1.0
14,32,1.0
14,33,3.0
14,34,7.0
14,35,7.0
14,36,7.0
14,37,7.0
14,38,4.0
14,39,4.0
14,40,4.0
14,41,4.0
14,42,3.0
15,1,57.0
15,2,British
15,3,20.0
15,4,"Walks,gardening (home and allotment)."
15,5,2
15,6,1.0
15,7,2.0
15,8,4.0
15,9,4.0
15,10,4.0
15,11,3.0
15,12,3.0
15,13,4.0
15,14,4.0
15,15,1.0
15,16,4.0
15,17,4.0
15,18,5.0
15,19,4.0
15,20,4.0
15,21,5.0
15,22,4.0
15,23,4.0
15,24,5.0
15,25,6.0
15,26,6.0
15,27,6.0
15,28,3.0
15,29,1.0
15,30,2.0
15,31,2.0
15,32,3.0
15,33,1.0
15,34,5.0
15,35,5.0
15,36,5.0
15,37,5.0
15,38,3.0
15,39,4.0
15,40,4.0
15,41,4.0
15,42,3.0
16,1,37.0
16,2,British
16,3,6.0
16,4,"Walking dog, on my allotment"
16,5,2
16,6,1.0
16,7,2.0
16,8,4.0
16,9,4.0
16,10,4.0
16,11,4.0
16,12,4.0
16,13,3.0
16,14,5.0
16,15,3.0
16,16,2.0
16,17,2.0
16,18,5.0
16,19,4.0
16,20,5.0
16,21,5.0
16,22,5.0
16,23,5.0
16,24,3.0
16,25,0.0
16,26,0.0
16,27,0.0
16,28,3.0
16,29,3.0
16,30,3.0
16,31,3.0
16,32,2.0
16,33,3.0
16,34,4.0
16,35,4.0
16,36,5.0
16,37,3.0
16,38,3.0
16,39,4.0
16,40,3.0
16,41,3.0
16,42,3.0
17,1,62.0
17,2,British
17,3,25.0
17,4,"Dog walking, horse riding, gardening, allotment"
17,5,2
17,6,1.0
17,7,1.0
17,8,4.0
17,9,3.0
17,10,4.0
17,11,4.0
17,12,4.0
17,13,4.0
17,14,5.0
17,15,4.0
17,16,2.0
17,17,2.0
17,18,3.0
17,19,4.0
17,20,4.0
17,21,3.0
17,22,4.0
17,23,3.0
17,24,6.0
17,25,6.0
17,26,6.0
17,27,6.0
17,28,3.0
17,29,1.0
17,30,1.0
17,31,2.0
17,32,1.0
17,33,3.0
17,34,5.0
17,35,6.0
17,36,5.0
17,37,4.0
17,38,4.0
17,39,4.0
17,40,4.0
17,41,4.0
17,42,3.0
18,1,56.0
18,2,British
18,3,10.0
18,4,"Gardening Allotment, walking, Volunteering"
18,5,2
18,6,1.0
18,7,2.0
18,8,4.0
18,9,4.0
18,10,3.0
18,11,5.0
18,12,5.0
18,13,4.0
18,14,5.0
18,15,4.0
18,16,4.0
18,17,4.0
18,18,5.0
18,19,5.0
18,20,5.0
18,21,5.0
18,22,5.0
18,23,5.0
18,24,4.0
18,25,4.0
18,26,4.0
18,27,4.0
18,28,3.0
18,29,2.0
18,30,3.0
18,31,3.0
18,32,2.0
18,33,3.0
18,34,4.0
18,35,6.0
18,36,4.0
18,37,5.0
18,38,4.0
18,39,4.0
18,40,3.0
18,41,4.0
18,42,2.0
19,1,67.0
19,2,Uk
19,3,10.0
19,4,"Walks, gardening"
19,5,1
19,6,1.0
19,7,1.0
19,8,4.0
19,9,4.0
19,10,4.0
19,11,4.0
19,12,4.0
19,13,3.0
19,14,3.0
19,15,3.0
19,16,4.0
19,17,3.0
19,18,4.0
19,19,4.0
19,20,4.0
19,21,5.0
19,22,4.0
19,23,5.0
19,24,6.0
19,25,6.0
19,26,6.0
19,27,6.0
19,28,3.0
19,29,2.0
19,30,2.0
19,31,3.0
19,32,2.0
19,33,3.0
19,34,5.0
19,35,4.0
19,36,4.0
19,37,4.0
19,38,3.0
19,39,3.0
19,40,3.0
19,41,3.0
19,42,3.0
20,1,28.0
20,2,White british
20,3,20.0
20,4,"Gardening, walking, running"
20,5,2
20,6,1.0
20,7,2.0
20,8,3.0
20,9,3.0
20,10,3.0
20,11,2.0
20,12,2.0
20,13,3.0
20,14,4.0
20,15,2.0
20,16,2.0
20,17,2.0
20,18,5.0
20,19,3.0
20,20,1.0
20,21,5.0
20,22,4.0
20,23,4.0
20,24,4.0
20,25,2.0
20,26,3.0
20,27,5.0
20,28,2.0
20,29,1.0
20,30,1.0
20,31,1.0
20,32,3.0
20,33,2.0
20,34,5.0
20,35,5.0
20,36,4.0
20,37,4.0
20,38,2.0
20,39,2.0
20,40,3.0
20,41,2.0
20,42,2.0
21,1,53.0
21,2,British
21,3,4.0
21,4,"Walking, allotment gardening"
21,5,2
21,6,1.0
21,7,2.0
21,8,5.0
21,9,4.0
21,10,4.0
21,11,4.0
21,12,4.0
21,13,4.0
21,14,5.0
21,15,5.0
21,16,2.0
21,17,2.0
21,18,4.0
21,19,4.0
21,20,5.0
21,21,5.0
21,22,5.0
21,23,5.0
21,24,6.0
21,25,6.0
21,26,6.0
21,27,5.0
21,28,3.0
21,29,3.0
21,30,2.0
21,31,3.0
21,32,1.0
21,33,3.0
21,34,7.0
21,35,7.0
21,36,7.0
21,37,7.0
21,38,3.0
21,39,3.0
21,40,3.0
21,41,3.0
21,42,3.0
22,1,48.0
22,2,British
22,3,1.0
22,4,Chicken keeping and gardening
22,5,2
22,6,1.0
22,7,2.0
22,8,4.0
22,9,3.0
22,10,3.0
22,11,3.0
22,12,3.0
22,13,3.0
22,14,3.0
22,15,1.0
22,16,4.0
22,17,4.0
22,18,4.0
22,19,4.0
22,20,5.0
22,21,5.0
22,22,4.0
22,23,4.0
22,24,6.0
22,25,6.0
22,26,5.0
22,27,5.0
22,28,3.0
22,29,2.0
22,30,1.0
22,31,3.0
22,32,1.0
22,33,2.0
22,34,5.0
22,35,4.0
22,36,4.0
22,37,5.0
22,38,3.0
22,39,3.0
22,40,3.0
22,41,3.0
22,42,1.0
23,1,50.0
23,2,English
23,3,14.0
23,4,Dog walking gardening cycling shooting
23,5,1
23,6,1.0
23,7,2.0
23,8,2.0
23,9,2.0
23,10,2.0
23,11,5.0
23,12,4.0
23,13,4.0
23,14,3.0
23,15,3.0
23,16,3.0
23,17,3.0
23,18,5.0
23,19,5.0
23,20,4.0
23,21,5.0
23,22,5.0
23,23,5.0
23,24,7.0
23,25,4.0
23,26,6.0
23,27,4.0
23,28,3.0
23,29,3.0
23,30,3.0
23,31,2.0
23,32,1.0
23,33,3.0
23,34,3.0
23,35,2.0
23,36,2.0
23,37,2.0
23,38,4.0
23,39,4.0
23,40,4.0
23,41,4.0
23,42,3.0
24,1,44.0
24,2,British
24,3,6.0
24,4,Gardening in allotment
24,5,2
24,6,1.0
24,7,2.0
24,8,4.0
24,9,4.0
24,10,4.0
24,11,4.0
24,12,4.0
24,13,3.0
24,14,4.0
24,15,5.0
24,16,3.0
24,17,3.0
24,18,5.0
24,19,4.0
24,20,4.0
24,21,5.0
24,22,5.0
24,23,4.0
24,24,6.0
24,25,5.0
24,26,6.0
24,27,6.0
24,28,3.0
24,29,2.0
24,30,2.0
24,31,2.0
24,32,2.0
24,33,3.0
24,34,5.0
24,35,5.0
24,36,5.0
24,37,6.0
24,38,3.0
24,39,3.0
24,40,4.0
24,41,3.0
24,42,3.0
25,1,46.0
25,2,british
25,3,12.0
25,4,"walks, gardening, allotment"
25,5,2
25,6,1.0
25,7,2.0
25,8,5.0
25,9,4.0
25,10,5.0
25,11,5.0
25,12,4.0
25,13,4.0
25,14,5.0
25,15,2.0
25,16,4.0
25,17,4.0
25,18,4.0
25,19,4.0
25,20,5.0
25,21,5.0
25,22,4.0
25,23,5.0
25,24,6.0
25,25,5.0
25,26,6.0
25,27,4.0
25,28,3.0
25,29,3.0
25,30,2.0
25,31,2.0
25,32,2.0
25,33,3.0
25,34,7.0
25,35,4.0
25,36,2.0
25,37,5.0
25,38,4.0
25,39,4.0
25,40,4.0
25,41,4.0
25,42,2.0
26,1,60.0
26,2,British
26,3,25.0
26,4,"Allotment, walks"
26,5,1
26,6,1.0
26,7,2.0
26,8,5.0
26,9,5.0
26,10,5.0
26,11,5.0
26,12,4.0
26,13,4.0
26,14,5.0
26,15,5.0
26,16,3.0
26,17,2.0
26,18,3.0
26,19,5.0
26,20,5.0
26,21,5.0
26,22,4.0
26,23,5.0
26,24,6.0
26,25,6.0
26,26,6.0
26,27,6.0
26,28,3.0
26,29,2.0
26,30,3.0
26,31,3.0
26,32,1.0
26,33,3.0
26,34,7.0
26,35,5.0
26,36,5.0
26,37,6.0
26,38,4.0
26,39,4.0
26,40,4.0
26,41,4.0
26,42,3.0
27,1,30.0
27,2,British
27,3,10.0
27,4,"Walking, allotment"
27,5,2
27,6,1.0
27,7,2.0
27,8,3.0
27,9,4.0
27,10,2.0
27,11,4.0
27,12,3.0
27,13,2.0
27,14,4.0
27,15,3.0
27,16,4.0
27,17,5.0
27,18,5.0
27,19,5.0
27,20,4.0
27,21,5.0
27,22,4.0
27,23,4.0
27,24,6.0
27,25,6.0
27,26,6.0
27,27,5.0
27,28,1.0
27,29,1.0
27,30,3.0
27,31,3.0
27,32,1.0
27,33,1.0
27,34,5.0
27,35,5.0
27,36,4.0
27,37,3.0
27,38,3.0
27,39,3.0
27,40,3.0
27,41,3.0
27,42,3.0
28,1,26.0
28,2,British
28,3,4.0
28,4,"Walks, allotment, enjoying the view"
28,5,2
28,6,1.0
28,7,2.0
28,8,4.0
28,9,4.0
28,10,4.0
28,11,4.0
28,12,4.0
28,13,4.0
28,14,3.0
28,15,2.0
28,16,2.0
28,17,3.0
28,18,3.0
28,19,3.0
28,20,3.0
28,21,5.0
28,22,4.0
28,23,4.0
28,24,4.0
28,25,4.0
28,26,4.0
28,27,4.0
28,28,2.0
28,29,1.0
28,30,1.0
28,31,3.0
28,32,1.0
28,33,2.0
28,34,7.0
28,35,7.0
28,36,7.0
28,37,7.0
28,38,3.0
28,39,3.0
28,40,4.0
28,41,3.0
28,42,2.0
29,1,49.0
29,2,Britihs
29,3,10.0
29,4,"Walking, camping and going to the allotment"
29,5,2
29,6,1.0
29,7,2.0
29,8,4.0
29,9,4.0
29,10,4.0
29,11,4.0
29,12,4.0
29,13,5.0
29,14,4.0
29,15,4.0
29,16,2.0
29,17,2.0
29,18,5.0
29,19,5.0
29,20,5.0
29,21,5.0
29,22,5.0
29,23,5.0
29,24,6.0
29,25,6.0
29,26,6.0
29,27,6.0
29,28,3.0
29,29,1.0
29,30,1.0
29,31,3.0
29,32,1.0
29,33,3.0
29,34,7.0
29,35,7.0
29,36,7.0
29,37,7.0
29,38,3.0
29,39,3.0
29,40,3.0
29,41,3.0
29,42,3.0
30,1,59.0
30,2,Welsh
30,3,4.0
30,4,"Gardening, walks, beach combing"
30,5,2
30,6,1.0
30,7,2.0
30,8,4.0
30,9,4.0
30,10,4.0
30,11,4.0
30,12,4.0
30,13,4.0
30,14,4.0
30,15,4.0
30,16,3.0
30,17,3.0
30,18,4.0
30,19,5.0
30,20,5.0
30,21,5.0
30,22,5.0
30,23,5.0
30,24,7.0
30,25,7.0
30,26,7.0
30,27,7.0
30,28,3.0
30,29,1.0
30,30,1.0
30,31,1.0
30,32,1.0
30,33,3.0
30,34,7.0
30,35,7.0
30,36,6.0
30,37,6.0
30,38,4.0
30,39,4.0
30,40,4.0
30,41,4.0
30,42,4.0
31,1,44.0
31,2,British
31,3,3.0
31,4,"Running, Bootcamp, allotment"
31,5,2
31,6,1.0
31,7,2.0
31,8,4.0
31,9,4.0
31,10,4.0
31,11,4.0
31,12,4.0
31,13,4.0
31,14,4.0
31,15,3.0
31,16,2.0
31,17,2.0
31,18,4.0
31,19,4.0
31,20,4.0
31,21,4.0
31,22,4.0
31,23,4.0
31,24,5.0
31,25,4.0
31,26,5.0
31,27,4.0
31,28,2.0
31,29,1.0
31,30,1.0
31,31,2.0
31,32,2.0
31,33,2.0
31,34,5.0
31,35,5.0
31,36,5.0
31,37,5.0
31,38,3.0
31,39,3.0
31,40,3.0
31,41,3.0
31,42,3.0
32,1,54.0
32,2,white british
32,3,24.0
32,4,"walking, gardening, fishing,"
32,5,1
32,6,1.0
32,7,1.0
32,8,3.0
32,9,4.0
32,10,4.0
32,11,4.0
32,12,5.0
32,13,5.0
32,14,4.0
32,15,4.0
32,16,4.0
32,17,5.0
32,18,5.0
32,19,4.0
32,20,4.0
32,21,5.0
32,22,5.0
32,23,4.0
32,24,6.0
32,25,6.0
32,26,6.0
32,27,7.0
32,28,3.0
32,29,1.0
32,30,1.0
32,31,2.0
32,32,1.0
32,33,3.0
32,34,6.0
32,35,6.0
32,36,6.0
32,37,6.0
32,38,3.0
32,39,4.0
32,40,3.0
32,41,3.0
32,42,3.0
33,1,61.0
33,2,British
33,3,5.0
33,4,walking - working allotment
33,5,2
33,6,1.0
33,7,2.0
33,8,3.0
33,9,4.0
33,10,4.0
33,11,3.0
33,12,4.0
33,13,3.0
33,14,4.0
33,15,3.0
33,16,3.0
33,17,4.0
33,18,4.0
33,19,2.0
33,20,2.0
33,21,2.0
33,22,3.0
33,23,3.0
33,24,5.0
33,25,4.0
33,26,5.0
33,27,4.0
33,28,2.0
33,29,3.0
33,30,3.0
33,31,1.0
33,32,3.0
33,33,1.0
33,34,3.0
33,35,3.0
33,36,3.0
33,37,3.0
33,38,4.0
33,39,3.0
33,40,4.0
33,41,4.0
33,42,3.0
34,1,62.0
34,2,british
34,3,8.0
34,4,gardening
34,5,1
34,6,1.0
34,7,1.0
34,8,5.0
34,9,4.0
34,10,5.0
34,11,3.0
34,12,4.0
34,13,2.0
34,14,5.0
34,15,4.0
34,16,3.0
34,17,1.0
34,18,3.0
34,19,2.0
34,20,1.0
34,21,3.0
34,22,1.0
34,23,1.0
34,24,6.0
34,25,3.0
34,26,5.0
34,27,4.0
34,28,3.0
34,29,2.0
34,30,2.0
34,31,3.0
34,32,3.0
34,33,3.0
34,34,3.0
34,35,6.0
34,36,1.0
34,37,4.0
34,38,3.0
34,39,4.0
34,40,4.0
34,41,4.0
34,42,3.0
35,1,42.0
35,2,British
35,3,25.0
35,4,"Gardening, walking dog + children"
35,5,1
35,6,1.0
35,7,2.0
35,8,5.0
35,9,4.0
35,10,5.0
35,11,4.0
35,12,4.0
35,13,4.0
35,14,4.0
35,15,4.0
35,16,3.0
35,17,3.0
35,18,3.0
35,19,4.0
35,20,4.0
35,21,4.0
35,22,4.0
35,23,4.0
35,24,6.0
35,25,6.0
35,26,6.0
35,27,6.0
35,28,3.0
35,29,1.0
35,30,1.0
35,31,3.0
35,32,1.0
35,33,3.0
35,34,7.0
35,35,5.0
35,36,3.0
35,37,5.0
35,38,4.0
35,39,3.0
35,40,3.0
35,41,3.0
35,42,2.0
36,1,68.0
36,2,English
36,3,15.0
36,4,Walking and allotment
36,5,2
36,6,1.0
36,7,2.0
36,8,4.0
36,9,4.0
36,10,5.0
36,11,5.0
36,12,5.0
36,13,5.0
36,14,5.0
36,15,2.0
36,16,2.0
36,17,2.0
36,18,5.0
36,19,5.0
36,20,5.0
36,21,5.0
36,22,5.0
36,23,5.0
36,24,6.0
36,25,6.0
36,26,6.0
36,27,6.0
36,28,3.0
36,29,2.0
36,30,1.0
36,31,3.0
36,32,1.0
36,33,3.0
36,34,7.0
36,35,7.0
36,36,6.0
36,37,6.0
36,38,4.0
36,39,3.0
36,40,4.0
36,41,4.0
36,42,2.0
37,1,52.0
37,2,Greek
37,3,7.0
37,4,"Gardening, allotment, forest school, walks"
37,5,2
37,6,1.0
37,7,2.0
37,8,5.0
37,9,5.0
37,10,5.0
37,11,4.0
37,12,4.0
37,13,5.0
37,14,5.0
37,15,5.0
37,16,3.0
37,17,3.0
37,18,5.0
37,19,5.0
37,20,5.0
37,21,5.0
37,22,5.0
37,23,4.0
37,24,6.0
37,25,6.0
37,26,5.0
37,27,5.0
37,28,3.0
37,29,1.0
37,30,3.0
37,31,1.0
37,32,1.0
37,33,3.0
37,34,7.0
37,35,7.0
37,36,7.0
37,37,7.0
37,38,4.0
37,39,4.0
37,40,4.0
37,41,4.0
37,42,3.0
38,1,31.0
38,2,white british
38,3,70.0
38,4,walking gardening allotment park
38,5,2
38,6,1.0
38,7,2.0
38,8,4.0
38,9,3.0
38,10,3.0
38,11,4.0
38,12,2.0
38,13,1.0
38,14,5.0
38,15,4.0
38,16,3.0
38,17,3.0
38,18,5.0
38,19,4.0
38,20,4.0
38,21,5.0
38,22,5.0
38,23,5.0
38,24,6.0
38,25,6.0
38,26,6.0
38,27,6.0
38,28,1.0
38,29,3.0
38,30,3.0
38,31,3.0
38,32,3.0
38,33,1.0
38,34,1.0
38,35,1.0
38,36,2.0
38,37,1.0
38,38,4.0
38,39,4.0
38,40,4.0
38,41,4.0
38,42,4.0
39,1,47.0
39,2,British
39,3,20.0
39,4,Gardening
39,5,1
39,6,1.0
39,7,1.0
39,8,3.0
39,9,4.0
39,10,4.0
39,11,5.0
39,12,4.0
39,13,4.0
39,14,5.0
39,15,3.0
39,16,3.0
39,17,2.0
39,18,1.0
39,19,3.0
39,20,1.0
39,21,4.0
39,22,4.0
39,23,4.0
39,24,6.0
39,25,5.0
39,26,3.0
39,27,2.0
39,28,3.0
39,29,2.0
39,30,3.0
39,31,1.0
39,32,3.0
39,33,1.0
39,34,7.0
39,35,7.0
39,36,7.0
39,37,7.0
39,38,4.0
39,39,4.0
39,40,4.0
39,41,4.0
39,42,4.0
40,1,44.0
40,2,Welsh
40,3,8.0
40,4,"Gardening, dog walking, taking kids on walks and to parks"
40,5,2
40,6,1.0
40,7,2.0
40,8,4.0
40,9,5.0
40,10,3.0
40,11,4.0
40,12,5.0
40,13,4.0
40,14,5.0
40,15,5.0
40,16,1.0
40,17,1.0
40,18,2.0
40,19,2.0
40,20,4.0
40,21,4.0
40,22,1.0
40,23,1.0
40,24,4.0
40,25,4.0
40,26,4.0
40,27,4.0
40,28,3.0
40,29,1.0
40,30,1.0
40,31,2.0
40,32,1.0
40,33,3.0
40,34,4.0
40,35,5.0
40,36,5.0
40,37,5.0
40,38,4.0
40,39,4.0
40,40,4.0
40,41,4.0
40,42,3.0
41,1,49.0
41,2,British
41,3,10.0
41,4,"Allotment, hiking"
41,5,2
41,6,1.0
41,7,2.0
41,8,4.0
41,9,4.0
41,10,4.0
41,11,4.0
41,12,4.0
41,13,4.0
41,14,4.0
41,15,3.0
41,16,3.0
41,17,3.0
41,18,3.0
41,19,2.0
41,20,3.0
41,21,5.0
41,22,3.0
41,23,4.0
41,24,4.0
41,25,4.0
41,26,4.0
41,27,4.0
41,28,3.0
41,29,2.0
41,30,2.0
41,31,3.0
41,32,2.0
