AllotmentID,ParticipantID,OwnsAllotment,ParticipatesInGroup
230,230,True,False
231,231,True,False
232,232,True,False
233,233,True,True
234,234,True,True
235,235,True,True
236,236,True,False
237,237,True,False
238,238,True,False
239,239,True,True
240,240,True,True
241,241,True,True
242,242,True,True
243,243,True,True
244,244,True,True
245,245,True,False
246,246,True,False
247,247,True,True
248,248,True,True
249,249,True,False
250,250,True,True
251,251,True,True
252,252,True,True
253,253,True,True
254,254,True,False
255,255,True,True
256,256,True,False
257,257,True,True
258,258,True,True
259,259,True,True
260,260,True,True
261,261,True,True
262,262,True,False
263,263,True,False
264,264,True,False
265,265,True,True
266,266,True,False
267,267,True,False
268,268,True,True
269,269,True,True
270,270,True,True
271,271,True,False
272,272,True,True
273,273,True,False
274,274,True,False
275,275,True,True
276,276,True,True
277,277,True,False
278,278,True,False
279,279,True,False
280,280,True,True
281,281,True,True
282,282,True,True
283,283,True,True
284,284,True,True
285,285,True,True
286,286,True,True
287,287,True,True
288,288,True,True
289,289,True,True
290,290,True,False
291,291,True,False
292,292,True,True
293,293,True,False
294,294,True,True
295,295,True,False
296,296,True,False
297,297,True,True
298,298,True,False
299,299,True,True
300,300,True,True
301,301,True,True
302,302,True,True
303,303,True,True
304,304,True,True
305,305,True,True
306,306,True,False
307,307,True,False
308,308,True,True
309,309,True,False
310,310,True,False
311,311,True,True
312,312,True,False
313,313,True,False
314,314,True,True
315,315,True,True
316,316,True,False
317,317,True,False
318,318,True,False
319,319,True,True
320,320,True,True
321,321,True,False
322,322,True,True
323,323,True,False
324,324,True,False
325,325,True,True
326,326,True,True
327,327,True,False
328,328,True,False
329,329,True,False
330,330,True,False
331,331,True,False
332,332,True,False
333,333,True,False
334,334,True,True
335,335,True,True
336,336,True,True
337,337,True,True
338,338,True,False
339,339,True,False
340,340,True,False
341,341,True,True
342,342,True,False
343,343,True,False
344,344,True,False
345,345,True,False
346,346,True,False
347,347,True,False
348,348,True,False
349,349,True,False
350,350,True,False
351,351,True,False
352,352,True,False
353,353,True,False
354,354,True,True
355,355,True,False
356,356,True,False
357,357,True,False
358,358,True,False
359,359,True,False
360,360,True,False
361,361,True,True
362,362,True,True
363,363,True,True
364,364,True,False
365,365,True,False
366,366,True,True
367,367,True,True
368,368,True,False
369,369,True,False
370,370,True,False
371,371,True,False
372,372,True,False
373,373,True,True
374,374,True,False
375,375,True,True
376,376,False,False
377,377,False,False
378,378,False,False
379,379,False,False
380,380,False,False
381,381,False,False
382,382,False,False
383,383,False,False
384,384,False,False
385,385,False,False
386,386,False,False
387,387,False,False
388,388,False,False
389,389,False,False
390,390,False,False
391,391,False,True
392,392,False,False
393,393,False,False
394,394,False,False
395,395,False,False
396,396,False,False
397,397,False,False
398,398,False,False
399,399,False,False
400,400,False,False
401,401,False,False
402,402,False,False
403,403,False,False
404,404,False,False
405,405,False,False
406,406,False,False
407,407,False,False
408,408,False,False
409,409,False,False
410,410,False,False
411,411,False,False
412,412,False,False
413,413,False,False
414,414,False,False
415,415,False,False
416,416,False,False
417,417,False,False
418,418,False,False
419,419,False,False
420,420,False,False
421,421,False,False
422,422,False,False
423,423,False,False
424,424,False,False
425,425,False,False
426,426,False,False
427,427,False,False
428,428,False,False
429,429,False,False
430,430,False,False
431,431,False,False
432,432,False,False
433,433,False,False
434,434,False,False
435,435,False,False
436,436,False,False
437,437,False,False
438,438,False,False
439,439,False,False
440,440,False,False
441,441,False,False
442,442,False,False
443,443,False,False
444,444,False,False
445,445,False,False
446,446,False,False
447,447,False,False
448,448,False,False
449,449,False,False
450,450,False,False
451,451,False,False
452,452,False,False
453,453,False,False
454,454,False,False
455,455,False,False
456,456,False,False
457,457,False,False
458,458,False,False
459,459,False,False
460,460,False,False
461,461,False,False
462,462,False,False
463,463,False,False
464,464,False,False
465,465,False,False
466,466,False,False
467,467,False,False
468,468,False,False
469,469,False,False
470,470,False,False
471,471,False,False
472,472,False,False
473,473,False,False
474,474,False,False
475,475,False,True
476,476,False,False
477,477,False,False
478,478,False,False
479,479,False,False
480,480,False,False
481,481,False,False
482,482,False,False
483,483,False,False
484,484,False,False
485,485,False,False
486,486,False,False
487,487,False,False
488,488,False,True
489,489,False,False
490,490,False,False
491,491,False,False
492,492,False,False
493,493,False,False
494,494,False,False
495,495,False,False
496,496,False,False
497,497,False,True
498,498,False,False
499,499,False,False
500,500,False,False
501,501,False,False
502,502,False,False
503,503,False,False
504,504,False,False
505,505,False,False
506,506,False,False
507,507,False,False
508,508,False,False
509,509,False,False
510,510,False,False
511,511,False,False
512,512,False,False
513,513,False,False
514,514,False,False
515,515,False,False
516,516,,
517,517,,
518,518,,
519,519,,
520,520,,
521,521,,
522,522,,
523,523,,
524,524,,
525,525,,
526,526,,
527,527,,
528,528,,
529,529,,
530,530,,
531,531,,
532,532,,
533,533,,
534,534,,
535,535,,
536,536,,
537,537,,
538,538,,
539,539,,
540,540,,
541,541,,
542,542,,
543,543,,
